Flight ID,Start Vertiport 1,Destination Vertiport 2,Destination Vertiport 3
V1-1,6:05:04 AM,6:25:04 AM,
V1-2,6:12:44 AM,6:32:44 AM,
V1-3,6:12:56 AM,,6:37:56 AM
V1-4,6:24:01 AM,,6:49:01 AM
V1-5,6:24:15 AM,,6:49:15 AM
V1-6,6:30:23 AM,,6:55:23 AM
V1-7,6:32:12 AM,6:52:12 AM,
V1-8,6:39:13 AM,,7:04:13 AM
V1-9,6:41:35 AM,,7:06:35 AM
V1-10,6:58:34 AM,7:18:34 AM,
V1-11,7:05:42 AM,,7:30:42 AM
V1-12,7:29:41 AM,7:49:41 AM,
V1-13,7:38:07 AM,,8:03:07 AM
V1-14,7:54:03 AM,,8:19:03 AM
V1-15,7:54:32 AM,,8:19:32 AM
V1-16,7:55:17 AM,8:15:17 AM,
V1-17,7:57:29 AM,,8:22:29 AM
V1-18,8:19:12 AM,,8:44:12 AM
V1-19,8:19:53 AM,,8:44:53 AM
V1-20,8:22:14 AM,,8:47:14 AM
V1-21,8:22:52 AM,8:42:52 AM,
V1-22,8:24:10 AM,,8:49:10 AM
V1-23,8:29:08 AM,8:49:08 AM,
V1-24,8:29:30 AM,,8:54:30 AM
V1-25,8:40:50 AM,,9:05:50 AM
V1-26,8:44:47 AM,9:04:47 AM,
V1-27,8:44:52 AM,9:04:52 AM,
V1-28,8:48:48 AM,9:08:48 AM,
V1-29,8:57:03 AM,9:17:03 AM,
V1-30,9:00:29 AM,9:20:29 AM,
V1-31,9:06:18 AM,9:26:18 AM,
V1-32,9:07:55 AM,9:27:55 AM,
V1-33,9:13:30 AM,,9:38:30 AM
V1-34,9:14:11 AM,9:34:11 AM,
V1-35,9:16:24 AM,,9:41:24 AM
V1-36,9:27:33 AM,9:47:33 AM,
V1-37,9:32:19 AM,9:52:19 AM,
V1-38,9:42:04 AM,,10:07:04 AM
V1-39,9:43:40 AM,,10:08:40 AM
V1-40,9:45:41 AM,10:05:41 AM,
V1-41,9:47:58 AM,,10:12:58 AM
V1-42,10:02:49 AM,,10:27:49 AM
V1-43,10:02:53 AM,,10:27:53 AM
V1-44,10:04:26 AM,10:24:26 AM,
V1-45,10:09:00 AM,10:29:00 AM,
V1-46,10:12:53 AM,,10:37:53 AM
V1-47,10:19:47 AM,,10:44:47 AM
V1-48,10:23:50 AM,,10:48:50 AM
V1-49,10:28:17 AM,10:48:17 AM,
V1-50,10:32:13 AM,,10:57:13 AM
V1-51,10:33:28 AM,10:53:28 AM,
V1-52,10:34:21 AM,10:54:21 AM,
V1-53,10:39:12 AM,10:59:12 AM,
V1-54,10:41:43 AM,,11:06:43 AM
V1-55,10:47:05 AM,11:07:05 AM,
V1-56,10:50:33 AM,,11:15:33 AM
V1-57,10:53:43 AM,,11:18:43 AM
V1-58,10:59:52 AM,11:19:52 AM,
V1-59,11:02:34 AM,,11:27:34 AM
V1-60,11:04:53 AM,,11:29:53 AM
V1-61,11:05:49 AM,,11:30:49 AM
V1-62,11:16:35 AM,,11:41:35 AM
V1-63,11:18:44 AM,11:38:44 AM,
V1-64,11:25:06 AM,,11:50:06 AM
V1-65,11:28:25 AM,,11:53:25 AM
V1-66,11:42:58 AM,12:02:58 PM,
V1-67,11:45:26 AM,,12:10:26 PM
V1-68,11:46:50 AM,12:06:50 PM,
V1-69,11:51:48 AM,12:11:48 PM,
V1-70,12:02:29 PM,,12:27:29 PM
V1-71,12:10:29 PM,,12:35:29 PM
V1-72,12:10:36 PM,12:30:36 PM,
V1-73,12:13:56 PM,,12:38:56 PM
V1-74,12:14:41 PM,,12:39:41 PM
V1-75,12:15:09 PM,12:35:09 PM,
V1-76,12:16:53 PM,12:36:53 PM,
V1-77,12:19:08 PM,12:39:08 PM,
V1-78,12:19:40 PM,,12:44:40 PM
V1-79,12:20:18 PM,12:40:18 PM,
V1-80,12:21:13 PM,,12:46:13 PM
V1-81,12:21:21 PM,12:41:21 PM,
V1-82,12:30:41 PM,12:50:41 PM,
V1-83,12:33:47 PM,,12:58:47 PM
V1-84,12:55:08 PM,,1:20:08 PM
V1-85,1:00:02 PM,,1:25:02 PM
V1-86,1:07:47 PM,1:27:47 PM,
V1-87,1:13:17 PM,1:33:17 PM,
V1-88,1:14:05 PM,,1:39:05 PM
V1-89,1:18:29 PM,1:38:29 PM,
V1-90,1:19:15 PM,,1:44:15 PM
V1-91,1:22:21 PM,1:42:21 PM,
V1-92,1:24:48 PM,1:44:48 PM,
V1-93,1:24:49 PM,,1:49:49 PM
V1-94,1:26:53 PM,1:46:53 PM,
V1-95,1:36:06 PM,1:56:06 PM,
V1-96,1:38:32 PM,,2:03:32 PM
V1-97,1:45:50 PM,,2:10:50 PM
V1-98,1:48:11 PM,,2:13:11 PM
V1-99,1:52:18 PM,,2:17:18 PM
V1-100,1:53:51 PM,2:13:51 PM,
V1-101,1:58:19 PM,,2:23:19 PM
V1-102,1:59:27 PM,,2:24:27 PM
V1-103,2:02:10 PM,,2:27:10 PM
V1-104,2:07:06 PM,2:27:06 PM,
V1-105,2:11:47 PM,2:31:47 PM,
V1-106,2:22:35 PM,2:42:35 PM,
V1-107,2:29:07 PM,,2:54:07 PM
V1-108,2:32:06 PM,,2:57:06 PM
V1-109,2:43:09 PM,,3:08:09 PM
V1-110,2:44:31 PM,,3:09:31 PM
V1-111,2:47:11 PM,,3:12:11 PM
V1-112,3:03:08 PM,3:23:08 PM,
V1-113,3:03:44 PM,3:23:44 PM,
V1-114,3:06:23 PM,3:26:23 PM,
V1-115,3:19:23 PM,,3:44:23 PM
V1-116,3:20:15 PM,3:40:15 PM,
V1-117,3:20:26 PM,3:40:26 PM,
V1-118,3:23:10 PM,,3:48:10 PM
V1-119,3:27:47 PM,3:47:47 PM,
V1-120,3:28:28 PM,3:48:28 PM,
V1-121,3:35:40 PM,3:55:40 PM,
V1-122,3:43:01 PM,,4:08:01 PM
V1-123,3:51:47 PM,,4:16:47 PM
V1-124,3:58:46 PM,4:18:46 PM,
V1-125,4:04:27 PM,4:24:27 PM,
V1-126,4:04:37 PM,4:24:37 PM,
V1-127,4:16:07 PM,,4:41:07 PM
V1-128,4:16:48 PM,4:36:48 PM,
V1-129,4:18:06 PM,4:38:06 PM,
V1-130,4:19:44 PM,,4:44:44 PM
V1-131,4:24:15 PM,4:44:15 PM,
V1-132,4:24:49 PM,4:44:49 PM,
V1-133,4:32:19 PM,,4:57:19 PM
V1-134,4:37:26 PM,4:57:26 PM,
V1-135,4:41:36 PM,,5:06:36 PM
V1-136,4:48:02 PM,,5:13:02 PM
V1-137,4:56:40 PM,5:16:40 PM,
V1-138,5:00:47 PM,,5:25:47 PM
V1-139,5:09:10 PM,,5:34:10 PM
V1-140,5:16:34 PM,5:36:34 PM,
V1-141,5:17:45 PM,,5:42:45 PM
V1-142,5:30:16 PM,,5:55:16 PM
V1-143,5:40:41 PM,6:00:41 PM,
V1-144,5:43:46 PM,,6:08:46 PM
V1-145,5:54:28 PM,6:14:28 PM,
V1-146,6:03:29 PM,,6:28:29 PM
V1-147,6:06:17 PM,6:26:17 PM,
V1-148,6:14:31 PM,6:34:31 PM,
V1-149,6:18:01 PM,,6:43:01 PM
V1-150,6:19:13 PM,6:39:13 PM,
V1-151,6:22:56 PM,,6:47:56 PM
V1-152,6:23:28 PM,6:43:28 PM,
V1-153,6:24:13 PM,6:44:13 PM,
V1-154,6:26:29 PM,,6:51:29 PM
V1-155,6:36:51 PM,6:56:51 PM,
V1-156,6:41:44 PM,,7:06:44 PM
V1-157,6:43:42 PM,7:03:42 PM,
V1-158,6:48:18 PM,7:08:18 PM,
V1-159,6:49:40 PM,7:09:40 PM,
V1-160,6:51:16 PM,7:11:16 PM,
V1-161,6:52:34 PM,,7:17:34 PM
V1-162,6:53:28 PM,7:13:28 PM,
V1-163,6:55:08 PM,7:15:08 PM,
V1-164,7:00:08 PM,7:20:08 PM,
V1-165,7:03:49 PM,7:23:49 PM,
V1-166,7:04:41 PM,7:24:41 PM,
V1-167,7:09:47 PM,,7:34:47 PM
V1-168,7:20:51 PM,,7:45:51 PM
V1-169,7:22:03 PM,7:42:03 PM,
V1-170,7:25:52 PM,,7:50:52 PM
V1-171,7:26:02 PM,7:46:02 PM,
V1-172,7:34:04 PM,,7:59:04 PM
V1-173,7:34:34 PM,7:54:34 PM,
V1-174,7:37:59 PM,,8:02:59 PM
V1-175,7:52:08 PM,8:12:08 PM,
V1-176,7:52:20 PM,,8:17:20 PM
V1-177,8:09:14 PM,,8:34:14 PM
V1-178,8:12:21 PM,,8:37:21 PM
V1-179,8:17:46 PM,8:37:46 PM,
V1-180,8:21:00 PM,8:41:00 PM,
V1-181,8:25:51 PM,,8:50:51 PM
V1-182,8:33:21 PM,,8:58:21 PM
V1-183,8:41:20 PM,,9:06:20 PM
V1-184,8:45:40 PM,9:05:40 PM,
V1-185,8:50:33 PM,,9:15:33 PM
V1-186,8:52:48 PM,,9:17:48 PM
V1-187,8:57:16 PM,9:17:16 PM,
V1-188,9:19:24 PM,9:39:24 PM,
V1-189,9:23:31 PM,9:43:31 PM,
V1-190,9:24:47 PM,,9:49:47 PM
V1-191,9:29:14 PM,,9:54:14 PM
V1-192,9:30:44 PM,,9:55:44 PM
V1-193,9:37:21 PM,9:57:21 PM,
V1-194,9:38:29 PM,9:58:29 PM,
V1-195,9:42:53 PM,10:02:53 PM,
V1-196,9:45:02 PM,,10:10:02 PM
V1-197,9:45:22 PM,10:05:22 PM,
V1-198,9:47:14 PM,10:07:14 PM,
V1-199,9:48:32 PM,10:08:32 PM,
V1-200,9:52:16 PM,,10:17:16 PM
