Flight ID,Start Vertiport 2,Destination Vertiport 1
V2-1,5:44:42 AM,6:04:42 AM
V2-2,5:44:45 AM,6:04:45 AM
V2-3,5:59:46 AM,6:19:46 AM
V2-4,6:04:32 AM,6:24:32 AM
V2-5,6:06:17 AM,6:26:17 AM
V2-6,6:07:08 AM,6:27:08 AM
V2-7,6:16:46 AM,6:36:46 AM
V2-8,6:17:59 AM,6:37:59 AM
V2-9,6:23:18 AM,6:43:18 AM
V2-10,6:30:50 AM,6:50:50 AM
V2-11,6:40:38 AM,7:00:38 AM
V2-12,6:47:37 AM,7:07:37 AM
V2-13,6:51:13 AM,7:11:13 AM
V2-14,6:59:44 AM,7:19:44 AM
V2-15,7:18:03 AM,7:38:03 AM
V2-16,7:30:01 AM,7:50:01 AM
V2-17,7:39:55 AM,7:59:55 AM
V2-18,7:43:34 AM,8:03:34 AM
V2-19,7:52:00 AM,8:12:00 AM
V2-20,7:52:37 AM,8:12:37 AM
V2-21,7:58:58 AM,8:18:58 AM
V2-22,8:01:49 AM,8:21:49 AM
V2-23,8:06:04 AM,8:26:04 AM
V2-24,8:09:08 AM,8:29:08 AM
V2-25,8:18:28 AM,8:38:28 AM
V2-26,8:31:36 AM,8:51:36 AM
V2-27,8:35:38 AM,8:55:38 AM
V2-28,9:00:13 AM,9:20:13 AM
V2-29,9:00:13 AM,9:20:13 AM
V2-30,9:07:24 AM,9:27:24 AM
V2-31,9:13:37 AM,9:33:37 AM
V2-32,9:19:35 AM,9:39:35 AM
V2-33,9:19:44 AM,9:39:44 AM
V2-34,9:22:47 AM,9:42:47 AM
V2-35,9:28:17 AM,9:48:17 AM
V2-36,9:41:40 AM,10:01:40 AM
V2-37,10:01:55 AM,10:21:55 AM
V2-38,10:05:52 AM,10:25:52 AM
V2-39,10:19:13 AM,10:39:13 AM
V2-40,10:50:15 AM,11:10:15 AM
V2-41,11:10:18 AM,11:30:18 AM
V2-42,11:12:30 AM,11:32:30 AM
V2-43,11:25:10 AM,11:45:10 AM
V2-44,11:29:56 AM,11:49:56 AM
V2-45,11:47:06 AM,12:07:06 PM
V2-46,11:56:26 AM,12:16:26 PM
V2-47,12:07:49 PM,12:27:49 PM
V2-48,12:21:49 PM,12:41:49 PM
V2-49,12:24:03 PM,12:44:03 PM
V2-50,12:30:30 PM,12:50:30 PM
V2-51,12:35:20 PM,12:55:20 PM
V2-52,12:40:27 PM,1:00:27 PM
V2-53,12:49:48 PM,1:09:48 PM
V2-54,12:52:34 PM,1:12:34 PM
V2-55,1:10:05 PM,1:30:05 PM
V2-56,1:15:21 PM,1:35:21 PM
V2-57,1:17:37 PM,1:37:37 PM
V2-58,1:30:55 PM,1:50:55 PM
V2-59,2:49:53 PM,3:09:53 PM
V2-60,2:59:09 PM,3:19:09 PM
V2-61,3:03:50 PM,3:23:50 PM
V2-62,3:12:51 PM,3:32:51 PM
V2-63,3:16:29 PM,3:36:29 PM
V2-64,3:19:23 PM,3:39:23 PM
V2-65,3:27:01 PM,3:47:01 PM
V2-66,3:28:13 PM,3:48:13 PM
V2-67,3:32:31 PM,3:52:31 PM
V2-68,3:45:38 PM,4:05:38 PM
V2-69,3:47:38 PM,4:07:38 PM
V2-70,3:52:31 PM,4:12:31 PM
V2-71,4:14:51 PM,4:34:51 PM
V2-72,4:24:52 PM,4:44:52 PM
V2-73,4:46:59 PM,5:06:59 PM
V2-74,4:57:09 PM,5:17:09 PM
V2-75,5:19:50 PM,5:39:50 PM
V2-76,5:20:41 PM,5:40:41 PM
V2-77,5:38:29 PM,5:58:29 PM
V2-78,5:48:55 PM,6:08:55 PM
V2-79,5:53:33 PM,6:13:33 PM
V2-80,6:10:32 PM,6:30:32 PM
V2-81,6:13:45 PM,6:33:45 PM
V2-82,6:22:11 PM,6:42:11 PM
V2-83,6:29:32 PM,6:49:32 PM
V2-84,6:32:45 PM,6:52:45 PM
V2-85,6:49:19 PM,7:09:19 PM
V2-86,6:56:39 PM,7:16:39 PM
V2-87,7:02:23 PM,7:22:23 PM
V2-88,7:35:21 PM,7:55:21 PM
V2-89,7:38:38 PM,7:58:38 PM
V2-90,7:42:06 PM,8:02:06 PM
V2-91,7:45:30 PM,8:05:30 PM
V2-92,7:58:18 PM,8:18:18 PM
V2-93,8:16:22 PM,8:36:22 PM
V2-94,8:28:11 PM,8:48:11 PM
V2-95,8:46:50 PM,9:06:50 PM
V2-96,8:54:48 PM,9:14:48 PM
V2-97,9:06:25 PM,9:26:25 PM
V2-98,9:28:12 PM,9:48:12 PM
V2-99,9:29:01 PM,9:49:01 PM
V2-100,9:37:39 PM,9:57:39 PM
